,,Призмы,Пересечение сущностей из INSIDE и GOP,Сущности из GOP,Релевантность по онтологическому анализу,Релевантность по прямому анализу,Комментарий,"Оценка соотвествия 
релевантности "
,,25. Призма оценки,,Score; Evaluation of Ending; Goal Metrics,Нерелевантна,Нерелевантна,"Игра не использует систем оценивания игрока, поэтому линза нерелевантна Inside.",Соответствует
,,26. Призма функционального пространства,"Cardinality of Gameplay,Spatial Segmentation",Cardinality of Gameplay; Spatial Segmentation,Релевантна,Релевантна,Призма релевантна игре. Игровое пространство соотвествует игровым механикам.,Соответствует
,,27. Призма времени,"Game Ends,Segmentation of Gameplay",Time; Time Indicator; Game Ends; Segmentation of Gameplay,Релевантна,Релевантна,Призма релевантна игре. Игровой процесс имеет четкую продолжительность и ограничение по времени.,Соответствует
,,28. Призма механизма состояний,"Rules,Entity Manipulation",Rules; Entity Manipulation,Релевантна,Релевантна,"В игре присутсвуют механизмы состояний у всех игровых обхектов, поэтому призма релеванта игре.",Соответствует
,,29. Призма секретов,,Incomplete Information; Complete Information,Нерелевантна,Нерелевантна,"Призма секретов относится не игрвым серкетным локациям или концовкам, а к неполноте информации, как например в покере. Такой неполноты в игре не возникает, поэтому призма нерелевантна игре.",Соответствует
,,30. Призма возникновения,"Rules,Rules Synergies,Entity Manipulation",Rules; Rules Synergies; Entity Manipulation,Релевантна,Релевантна,В игре присутсвуют разные возможности действия и возможности их комбинировать. Призма релевантна игре.,Соответствует
,,31. Призма действий,"Entity Manipulation,Compound Action",Entity Manipulation; Compound Action; ,Релевантна,Релевантна,В игре присутсвуют разные возможности действия и возможности их комбинировать. Призма релевантна игре. Призма во многом дублирует призму возникновения.,Соответствует
,,32. Призма целей,"Goals,Optional Goals,Game Ends",Goals; Optional Goals; Game Ends,Релевантна,Релевантна,"В игре присутсвует цели и опциональные цели. Призма релевантна игре. Кроме того уместно ее критикует, так как цели игры непонятны игроку.",Соответствует
,,33. Призма правил,"Rules,Gameplay Rules",Rules; Gameplay Rules; Player Manipulable Rules,Релевантна,Релевантна,"Игра подчинена четким правилам, призма релевантна игре.",Соответствует
,,34. Призма навыков,Entity Manipulation,Difficulty Levels; Entity Manipulation;,Релевантна,Релевантна,Призма описывает необходимые навыки и релевантна игре. ,Соответствует
,,35. Призма ожидаемого значения,,Randomness; Dominant Strategy; Incomplete Information,Нерелевантна,Нерелевантна,"В Inside нету случайных событий, призма нерелевантна игре",Соответствует
,,36. Призма шанса,,Randomness; Incomplete Information,Нерелевантна,Нерелевантна,"В Inside нету случайных событий, призма нерелевантна игре",Соответствует
,,37. Призма справедливости,,Difficulty Levels; Dominant Strategy; Multiplayer; Goal Metrics; Dynamic Difficulty Adjustment,Нерелевантна,Нерелевантна,"Призма справедливости описывает скорее взаимодействие между несколькими игроками, поэтому она нерелевантна игре.",Соответствует
,,38. Призма сложности,Challenge Segmentation,Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment; Multiplayer,Релевантна,Релевантна,"Призма говорит о том, что если в игре есть препятствия, то вероятно следует добавлять механизмы адаптивной сложности, в случае если игрок не может пройти то или иное препятствие. В Inside есть преаятствие, но нету механизмов адаптации сложности, что является уместной критикой игры. Призма релевантна Inside.",Соответствует
,,39. Призма осмысленного выбора,,Dominant Strategy; To Select;  ,Нерелевантна,Нерелевантна,Inside не содержит выборов. Призма нерелевантна игре.,Соответствует
,,40. Призма треугольности,,To Manage Resources; To Own;,Нерелевантна,Нерелевантна,В Inside нет наград и выборов. Призма нерелевантна игре.,Соответствует
,,41. Призма навыка против шанса,,Randomness; Incomplete Information; ,Нерелевантна,Нерелевантна,В Inside нет случайных событий. Призма нерелевантна игре.,Соответствует
,,42. Призма головы и рук,"Puzzle,Entity Manipulation",Puzzle; Entity Manipulation,Релевантна,Релевантна,Для Inside актуален баланс между навыком платформинга и решения головоломок. Призма релевантна игре.,Соответствует
,,43. Призма конкуренции,,Multiplayer; Dominant Strategy,Нерелевантна,Нерелевантна,В Inside нельзя конкурировать с другими игркоами. Призма нерелевантна игре.,Соответствует
,,44. Призма сотрудничества,,Multiplayer,Нерелевантна,Нерелевантна,В Inside нельзя коллаборироваться с дургими игроками. Призма нерелевантна игре.,Соответствует
,,45. Призма конкуренции и сотрудничества,,Multiplayer,Нерелевантна,Нерелевантна,В Inside нельзя играть с другими игроками. Призма нерелевантна игре.,Соответствует
,,46. Призма награды,Bonus Stage,Score; Bonus Stage; To Own; To Manage Resources,Релевантна,Релевантна,"В Inside почти нету сегментов кроме секретной концовки, которые награждали бы игрока. Призма релевантна игре, кроме того уместно ее критикует.",Соответствует
,,47. Призма наказания,,Lives; Resource Exhaustion;,Нерелевантна,Релевантна,"В Inside существует система наказания за ошибки, призма релевантна игре, однако анализ показал обратное. Вероятной причиной этого является тракторка сущности Lives, которая описывает систему жизней (ошибок) в играх. Однако в игре нет системы жизней, есть только одна жизнь. В GOP просто не хватает сущностей, которые описывали бы единственную жизнь.",Не соотвествует 
,,48. Призма простоты/сложности,"Rules,Rules Synergies,Entity Manipulation",Rules; Rules Synergies; Entity Manipulation,Релевантна,Релевантна,Это призма напрямую связана с призмой возникающей сложности. И является релевантной игре.,Соответствует
,,49. Призма элегантности,,—,Нерелевантна,,,
,,50. Призма характера,,—,Нерелевантна,,,
,,51. Призма воображения,,—,Нерелевантна,,,
,,52. Призма экономики,,To Manage Resources; Economies of Scale; Economies of Scope; Resource Exhaustion; To Own,Нерелевантна,Нерелевантна,В Inside нет игровой экономики. Призма нерелевантна игре. ,Соответствует
,,53. Призма баланса,,—,Нерелевантна,,,
,,54. Призма доступности,"Puzzle,Challenge Segmentation",Puzzle; Challenge Segmentation,Релевантна,Релевантна,В Inside мнодество головоломок. Призма релевантна игре.,Соответствует
,,55. Призма видимого прогресса,Segmentation of Gameplay,Score; Points Indicator; Lives Indicator; Segmentation of Gameplay; Complete Information; Incomplete Information,Релевантна,Релевантна,"В Inside можно продвигаться вперед решая головоломки. Призма релевантна игре. В Inside нет никакого индикатора прогресса, а значит призма уместно критикует дизайн игры.",Соответствует
,,56. Призма параллелизма,"Puzzle,Challenge Segmentation",Puzzle; Challenge Segmentation;,Релевантна,Релевантна,"В Inside присутсвуют головоломки. Призма релевантна игре. Кроме того, в Inside отсутсвуют параллельные паззлы, то есть в случае если игрок не может пройти игровой сегмент, он вынужден просто оставить игру, не имея возможности перейти к другому ""параллельному"" сегменту, а значит призма уместно критикует дизайн игры.",Соответствует
,,57. Призма пирамиды,"Puzzle,Challenge Segmentation,Game Ends,Goals",Puzzle; Challenge Segmentation; Game Ends; Goals ,Релевантна,Релевантна,"В Inside присутсвуют головоломки. Призма релевантна игре. Кроме того, в Inside элементы паззлов зачастую не повторяются, а значит не формируют пирамиду. Призма уместно критикует дизайн игры. ",Соответствует
,,58. Призма головоломок,Puzzle,Puzzle,Релевантна,Релевантна,"В Inside присутсвуют головоломки. Призма релевантна игре. Кроме того, некоторые из 10 принципов головоломок описанные в линзе уместно критикуют дизайн головоломок в игре.",Соответствует
,,59. Призма контроля,"Interface,Entity Manipulation,Locus of Manipulation,Direct Manipulation","Interface, Entity Manipulation; Locus of Manipulation; Direct Manipulation, Indirect Manipulation",Релевантна,Релевантна,В игре присутсвует управление персонажем. Призма релевантна игре.,Соответствует
,,60. Призма физического интерфейса,"Input Devices,Presentation Hardware,Haptic Display,Visual Output",Input Devices; Presentation Hardware; Haptic Display; Visual Output,Релевантна,Релевантна,С Inside можно взаимодействовать только посредством физического интерфейса. Призма релевантна игре.,Соответствует
,,61. Призма виртуального интерфейса,,"Menu Interface, Point and Click Interface, Entity Programming Interface, Head Up Display",Нерелевантна,Нерелевантна,Виртуальный игровой интерфейс отсутсвует. Призма нерелевантна игре.,Соответствует
,,62. Призма прозрачности,Interface,Head Up Display; Interface;,Релевантна,Релевантна,"Призма говорит о том, что виртуалный интерфейс не должен перегружать игрока. Что релевантно игре. ",Соответствует
,,63. Призма фидбэка,"Feedback,Confirmation,Warning,Sensory Output,Goals",Feedback; Confirmation; Warning; Sensory Output; Goals,Релевантна,Релевантна,В Inside присутсвует обратная связь за счет анимаций и звуков. Призма релевантна игре.,Соответствует
,,64. Призма сочности,,Head Up Display,Нерелевантна,Нерелевантна,"В Inside нет пользовательского интерфейса, а призма сочности описывает именно ""сочность"" пользовательских интерфейсов. Призма нерелевантна игре.",Соответствует
,,65. Призма примитивности,"Direct Manipulation,Input Devices,Interface","Direct Manipulation, Input Devices; Interface;",Релевантна,Релевантна,"Призма говорит о том, что взаимодействие с игрой должно быть простым, что релевантно дял Inside.   ",Соответствует
,,66. Призма канала и его оформления,"Sensory Output,Presentation Hardware","Sensory Output, Presentation Hardware, Head Up Display",Релевантна,Релевантна,В Inside используется несколько каналов коммуникации. Призма релевантна игре,Соответствует
,,67. Призма режимов,,"Customization via Game Menu, Difficulty Levels, Menu Interface",Нерелевантна,Нерелевантна,В Inside нет возможности менять режимы игры. Призма нерелевантна игре.,Соответствует
,,68. Призма моментов,"Challenge Segmentation,Narrative Segmentation",Challenge Segmentation; Narrative Segmentation; Evaluation of Ending,Релевантна,Релевантна,В Inside есть яркие игровые моменты. Призма релевантна игре.,Соответствует
,,69. Призма кривой интереса,"Challenge Segmentation,Game Ends","Temporal Segmentation, Challenge Segmentation, Game Ends",Релевантна,Релевантна,Для Inside можно описать кривую интереса. Призма релевантна игре.,Соответствует
,,70. Призма изначального интереса,,—,Нерелевантна,,,
,,71. Призма красоты,"Sensory Output,Visual Output,Aural Output",Sensory Output; Visual Output; Aural Output,Релевантна,Релевантна,"В Inside есть визуальные элементы, которые можно считать красивыми или нет. Призма релевантна игре.",Соответствует
,,72. Призма проекции,,—,Нерелевантна,,,
,,73. Призма генератора историй,,—,Нерелевантна,,,
,,74. Призма препятствий,"Goals,Challenge Segmentation","Goals, Challenge Segmentation",Релевантна,Релевантна,В Inside есть игровые цели и препятствия. Призма релевантна игре.,Соответствует
,,75. Призма простоты и трансцендентности,,—,Нерелевантна,,,
,,76. Призма героического путешествия,Narrative Segmentation,Narrative Segmentation,Релевантна,Релевантна,В Inside однозначно есть история. Призма релевантна игре. ,Соответствует
,,77. Призма самой странной вещи,,—,Нерелевантна,,,
,,78. Призма истории,,—,Нерелевантна,,,
,,79. Призма свободы,"Cardinality of Gameplay,Entity Manipulation,Rules","Cardinality of Gameplay, Entity Manipulation; Rules",Релевантна,Релевантна,В Inside есть некоторая свобода действий в рамках ограниченного сегмента. Призма релевантна игре. ,Соответствует
,,80. Призма помощи,"Game Goals,Agent Goals",Game Goals; Agent Goals;,Релевантна,Релевантна,"В Inside мы не помогаем другим персонажам, хотя другие персонажи есть в игре. Согласно призме, помощь другим персонажам могла бы реализовать потребности игроков. Призма релевантна игре и успешно критикует ее дизайн.",Соответствует
,,81. Призма непрямого контроля,,—,Нерелевантна,,,
,,82. Призма сговора,Agent Goals,Agent Goals,Релевантна,Релевантна,"В игре есть другие персонажи, которые релаизуют свои задачи. Призма релевантна игре.",Соответствует
,,83. Призма фантазии,,—,Нерелевантна,,,
,,84. Призма мира,,—,Нерелевантна,,,
,,85. Призма аватара,Single Entity Manipulation,"Single Entity Manipulation, Character Customization",Релевантна,Релевантна,В Inside есть аватар. Призма релевантна игре.,Соответствует
,,86. Призма функций персонажа,,—,Нерелевантна,,,
,,87. Призма черт персонажа,,—,Нерелевантна,,,
,,88. Призма межличностных отношений,,—,Нерелевантна,,,
,,89. Призма паутины взаимоотношений персонажа,,—,Нерелевантна,,,
,,90. Призма статуса,,—,Нерелевантна,,,
,,91. Призма трансформации персонажа,"Narrative Segmentation,Narrative Exhaustion","Narrative Segmentation, Narrative Exhaustion",Релевантна,Релевантна,Персонаж буквально меняется по мере прохождения Inside. Призма релевантна игре.,Соответствует
,,92. Призма внутренних противоречий,,—,Нерелевантна,,,
,,93. Призма безымянного свойства,,—,Нерелевантна,,,
,,94. Призма атмосферы,"Sensory Output,Visual Output,Aural Output,Presentation Hardware","Sensory Output, Visual Output, Aural Output, Presentation Hardware",Релевантна,Релевантна,В Inside есть визуальные и аудиальные элементы формирующие определенную атмосферу. Призма релевантна игре.,Соответствует
,,95. Призма зрелища,,—,Нерелевантна,,,
,,96. Призма дружбы,,Multiplayer,Нерелевантна,Нерелевантна,В Inside нельзя дружить с другими игроками. Призма нерелевантна игре.,Соответствует
,,97. Призма самовыражения,,Character Customization,Нерелевантна,Нерелевантна,В Inside нет инструментов самовыражения. Призма нерелевантна игре.,Соответствует
,,98. Призма сообщества,,Multiplayer,Нерелевантна,Нерелевантна,В рамках игры нельзя выстраивать комьюнити. Призма нерелевантна игре.,Соответствует
,,99. Призма гриферства,,"Multiplayer, Dominant Strategy",Нерелевантна,Нерелевантна,В Inside нельзя испортить игру другим игркоам. Призма нерелевантна игре.,Соответствует
,,100. Призма любви,,—,Нерелевантна,,,
,,101. Призма команды,,—,Нерелевантна,,,
,,102. Призма документации,,—,Нерелевантна,,,
,,103. Призма плейтестов,,—,Нерелевантна,,,
,,104. Призма технологии,,—,Нерелевантна,,,
,,105. Призма хрустального шара,,—,Нерелевантна,,,
,,106. Призма утопии,,—,Нерелевантна,,,
,,107. Призма заказчика,,—,Нерелевантна,,,
,,108. Призма презентации,,—,Нерелевантна,,,
,,109. Призма прибыли,,—,Нерелевантна,,,
,,110. Призма трансформации,,—,Нерелевантна,,,
,,111. Призма ответственности,,—,Нерелевантна,,,
,,112. Призма ворона,,—,Нерелевантна,,,
,,113. Призма вашей тайной цели,,—,Нерелевантна,,,
